[2024-06-28 21:42:19,335] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,360] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,388] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,414] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,442] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,467] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,497] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,525] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,552] INFO [Broker id=0] Leader user-topic-0 with topic id Some(2iXZHGy-RtO2cxpw_ukN7Q) starts at leader epoch 0 from offset 10 with partition epoch 0, high watermark 10, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,552] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
